Commentary	Ref	Literature(PubmedID)	value
60°C: about 50% of maximal activity, 90°C: about 20% of maximal activity	594	7765974	60.0-90.0
enzyme assay range, 50% of maximal activity at 45°C and 60°C	643	19884762	10.0-90.0
	646	11222610	25.0-60.0
	647	11222610	25.0-60.0
	648	11222610	25.0-60.0
	649	11222610	25.0-60.0
	650	11222610	25.0-60.0
	651	11222610	25.0-60.0
more than 80% of maximal activity at 40°C and at 60°C	748	0	40.0-60.0
more than 70% of maximum activity within this range	748	0	45.0-55.0
more than 80% of maximal activity at 40°C and at 60°C	749	0	40.0-60.0
more than 70% of maximum activity within this range	749	0	45.0-55.0
more than 80% of maximal activity at 40°C and at 60°C	750	0	40.0-60.0
more than 70% of maximum activity within this range	750	0	45.0-55.0
more than 80% of maximal activity at 40°C and at 60°C	751	0	40.0-60.0
more than 70% of maximum activity within this range	751	0	45.0-55.0
more than 80% of maximal activity at 40°C and at 60°C	752	0	40.0-60.0
more than 70% of maximum activity within this range	752	0	45.0-55.0
more than 80% of maximal activity at 40°C and at 60°C	753	0	40.0-60.0
more than 70% of maximum activity within this range	753	0	45.0-55.0
more than 80% of maximal activity at 40°C and at 60°C	754	0	40.0-60.0
more than 70% of maximum activity within this range	754	0	45.0-55.0
89% of maximal activity at 60°C and 14% at 70°C	764	0	40.0-70.0
45°C: 28% of maximal activity, 85°C: 74% of maximal activity	784	8328796	45.0-85.0
18% of maximum activity	784	26001519	70.0
9% of maximum activity	784	26001519	80.0
45°C: 28% of maximal activity, 85°C: 74% of maximal activity	785	8328796	45.0-85.0
18% of maximum activity	785	26001519	70.0
9% of maximum activity	785	26001519	80.0
45°C: 28% of maximal activity, 85°C: 74% of maximal activity	786	8328796	45.0-85.0
18% of maximum activity	786	26001519	70.0
9% of maximum activity	786	26001519	80.0
45°C: 28% of maximal activity, 85°C: 74% of maximal activity	787	8328796	45.0-85.0
18% of maximum activity	787	26001519	70.0
9% of maximum activity	787	26001519	80.0
45°C: 28% of maximal activity, 85°C: 74% of maximal activity	788	8328796	45.0-85.0
18% of maximum activity	788	26001519	70.0
9% of maximum activity	788	26001519	80.0
activity range	890	19809242	30.0-70.0
activity decreases rapidly at temperatures over 80°C, but still retains approximately 70% relative activity at 90°C	915	19147106	80.0-90.0
activity decreases rapidly at temperatures over 80°C, but still retains approximately 70% relative activity at 90°C	916	19147106	80.0-90.0
more than 60% of maximum activity	952	26387816	30.0-50.0
activity range, profile, overview	1038	19838860	20.0-70.0
activity range, correlation with pH, overview	1091	0	40.0-80.0
activity range	1121	20493247	20.0-80.0
activity range	1122	20493247	20.0-80.0
activity range	1123	20493247	20.0-80.0
activity range	1124	20493247	20.0-80.0
activity range	1125	20493247	20.0-80.0
activity range	1126	20493247	20.0-80.0
activity range	1127	20493247	20.0-80.0
profile, overview	1130	20382811	30.0-70.0
more than 80% of maximum activity	1149	23157299	65.0-75.0
more than 80% of maximum activity	1150	23157299	65.0-75.0
more than 80% of maximum activity	1151	23157299	65.0-75.0
more than 80% of maximum activity	1152	23157299	65.0-75.0
more than 80% of maximum activity	1153	23157299	65.0-75.0
more than 80% of maximum activity	1154	23157299	65.0-75.0
more than 80% of maximum activity	1155	23157299	65.0-75.0
	1172	19118652	20.0-50.0
	1173	19118652	20.0-50.0
	1174	19118652	20.0-50.0
more than 75% of the activity at 30°C, rapidly decrease in activity above 50°C	1179	0	30.0-50.0
more than 75% of the activity at 30°C, rapidly decrease in activity above 50°C	1180	0	30.0-50.0
60% of maximal activity at 5°C	1275	12089151	5.0-35.0
60% of maximal activity at 5°C	1276	12089151	5.0-35.0
60% of maximal activity at 5°C	1277	12089151	5.0-35.0
60% of maximal activity at 5°C	1278	12089151	5.0-35.0
PhX20	1299	19692229	55.0-60.0
PhX33	1299	19692229	60.0-65.0
PhX20	1300	19692229	55.0-60.0
PhX33	1300	19692229	60.0-65.0
activity range	1329	21388922	40.0-90.0
activity range	1330	21388922	40.0-90.0
activity range	1331	21388922	40.0-90.0
more than 95% of maximum activity	1353	27841749	40.0-70.0
more than 95% of maximum activity	1354	27841749	40.0-70.0
more than 95% of maximum activity	1355	27841749	40.0-70.0
more than 95% of maximum activity	1356	27841749	40.0-70.0
more than 95% of maximum activity	1357	27841749	40.0-70.0
more than 95% of maximum activity	1358	27841749	40.0-70.0
more than 95% of maximum activity	1359	27841749	40.0-70.0
activity range, profile, overview	1385	21979072	40.0-80.0
the enzyme shows over 65% of its maximum activity at 20-28°C and about 40% at 10°C	1441	19554324	10.0-65.0
purified heavier protein band (42.8 kDa), more than 50% of maximum activity	1461	18645964	20.0-80.0
purified heavier protein band (42.8 kDa), more than 50% of maximum activity	1462	18645964	20.0-80.0
purified heavier protein band (42.8 kDa), more than 50% of maximum activity	1463	18645964	20.0-80.0
98% of maximum activity	1467	27146990	50.0
98% of maximum activity	1468	27146990	50.0
98% of maximum activity	1469	27146990	50.0
98% of maximum activity	1470	27146990	50.0
30°C: about 30% of maximal activity of enzyme form Xys1L, about 50% of maximal activity of enzyme form Xys1S, 80°C: about 15% of maximal activity of enzyme form Xys1L, about 35% of maximal activity of enzyme form Xys1S	1491	7793962	30.0-80.0
30°C: about 30% of maximal activity of enzyme form Xys1L, about 50% of maximal activity of enzyme form Xys1S, 80°C: about 15% of maximal activity of enzyme form Xys1L, about 35% of maximal activity of enzyme form Xys1S	1492	7793962	30.0-80.0
30°C: about 30% of maximal activity of enzyme form Xys1L, about 50% of maximal activity of enzyme form Xys1S, 80°C: about 15% of maximal activity of enzyme form Xys1L, about 35% of maximal activity of enzyme form Xys1S	1493	7793962	30.0-80.0
40°C: about 50% of maximal activity, 70°C: about 25% of maximal activity	1497	0	40.0-70.0
50°C: about 60% of maximal activity, 70°C: about 75% of maximal activity	1497	3827815	50.0-70.0
40°C: about 50% of maximal activity, 70°C: about 25% of maximal activity	1498	0	40.0-70.0
50°C: about 60% of maximal activity, 70°C: about 75% of maximal activity	1498	3827815	50.0-70.0
40°C: about 50% of maximal activity, 70°C: about 25% of maximal activity	1499	0	40.0-70.0
50°C: about 60% of maximal activity, 70°C: about 75% of maximal activity	1499	3827815	50.0-70.0
40°C: about 50% of maximal activity, 70°C: about 25% of maximal activity	1500	0	40.0-70.0
50°C: about 60% of maximal activity, 70°C: about 75% of maximal activity	1500	3827815	50.0-70.0
40°C: about 50% of maximal activity, 70°C: about 25% of maximal activity	1501	0	40.0-70.0
50°C: about 60% of maximal activity, 70°C: about 75% of maximal activity	1501	3827815	50.0-70.0
40°C: about 50% of maximal activity, 70°C: about 25% of maximal activity	1502	0	40.0-70.0
50°C: about 60% of maximal activity, 70°C: about 75% of maximal activity	1502	3827815	50.0-70.0
40°C: about 50% of maximal activity, 70°C: about 25% of maximal activity	1503	0	40.0-70.0
50°C: about 60% of maximal activity, 70°C: about 75% of maximal activity	1503	3827815	50.0-70.0
40°C: about 50% of maximal activity, 70°C: about 25% of maximal activity	1504	0	40.0-70.0
