Commentary	Ref	Literature(PubmedID)	value
x 	338	0	44000.0
x 	338	9678255	44700.0
x 	338	9678255	45000.0
enzyme component II from strain W1, gel filtration	338	0	48500.0
enzyme component II from strain W1, gel filtration	338	0	48500.0
1 	338	0	49500.0
1 	338	0	50000.0
enzyme component II from strain W2, gel filtration	338	0	51000.0
enzyme component II from strain W2, gel filtration	338	0	51000.0
1 	338	0	56000.0
x 	338	10689076	99000.0
x 	339	19911836	19000.0
x 	339	20467831	20000.0
x 	339	0	21500.0
x 	339	0	22500.0
x 	339	10830514	23000.0
x 	339	15057452	23475.0
x 	339	100536469	24000.0
x 	339	0	44000.0
x 	339	9678255	44700.0
x 	339	9678255	45000.0
enzyme component II from strain W1, gel filtration	339	0	48500.0
enzyme component II from strain W1, gel filtration	339	0	48500.0
1 	339	0	49500.0
1 	339	0	50000.0
enzyme component II from strain W2, gel filtration	339	0	51000.0
enzyme component II from strain W2, gel filtration	339	0	51000.0
1 	339	0	56000.0
x 	339	10689076	99000.0
x 	340	19911836	19000.0
x 	340	20467831	20000.0
x 	340	0	21500.0
x 	340	0	22500.0
x 	340	10830514	23000.0
x 	340	15057452	23475.0
x 	340	100536469	24000.0
x 	340	0	44000.0
x 	340	9678255	44700.0
x 	340	9678255	45000.0
enzyme component II from strain W1, gel filtration	340	0	48500.0
enzyme component II from strain W1, gel filtration	340	0	48500.0
1 	340	0	49500.0
1 	340	0	50000.0
enzyme component II from strain W2, gel filtration	340	0	51000.0
enzyme component II from strain W2, gel filtration	340	0	51000.0
1 	340	0	56000.0
x 	340	10689076	99000.0
1 	355	18776691	20000.0
	355	27097633	21400.0
x 	355	20075612	23000.0
parental enzyme XynA, SDS-PAGE	355	22006920	23000.0
x 	355	20075612	23253.0
sequence analysis	355	19332293	23350.0
x 	355	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	355	22006920	85500.0
1 	356	18776691	20000.0
	356	27097633	21400.0
x 	356	20075612	23000.0
parental enzyme XynA, SDS-PAGE	356	22006920	23000.0
x 	356	20075612	23253.0
sequence analysis	356	19332293	23350.0
x 	356	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	356	22006920	85500.0
1 	357	18776691	20000.0
	357	27097633	21400.0
x 	357	20075612	23000.0
parental enzyme XynA, SDS-PAGE	357	22006920	23000.0
x 	357	20075612	23253.0
sequence analysis	357	19332293	23350.0
x 	357	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	357	22006920	85500.0
1 	358	18776691	20000.0
	358	27097633	21400.0
x 	358	20075612	23000.0
parental enzyme XynA, SDS-PAGE	358	22006920	23000.0
x 	358	20075612	23253.0
sequence analysis	358	19332293	23350.0
x 	358	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	358	22006920	85500.0
1 	359	18776691	20000.0
	359	27097633	21400.0
x 	359	20075612	23000.0
parental enzyme XynA, SDS-PAGE	359	22006920	23000.0
x 	359	20075612	23253.0
sequence analysis	359	19332293	23350.0
x 	359	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	359	22006920	85500.0
1 	360	18776691	20000.0
	360	27097633	21400.0
x 	360	20075612	23000.0
parental enzyme XynA, SDS-PAGE	360	22006920	23000.0
x 	360	20075612	23253.0
sequence analysis	360	19332293	23350.0
x 	360	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	360	22006920	85500.0
1 	361	18776691	20000.0
	361	27097633	21400.0
x 	361	20075612	23000.0
parental enzyme XynA, SDS-PAGE	361	22006920	23000.0
x 	361	20075612	23253.0
sequence analysis	361	19332293	23350.0
x 	361	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	361	22006920	85500.0
1 	362	18776691	20000.0
	362	27097633	21400.0
x 	362	20075612	23000.0
parental enzyme XynA, SDS-PAGE	362	22006920	23000.0
x 	362	20075612	23253.0
sequence analysis	362	19332293	23350.0
x 	362	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	362	22006920	85500.0
1 	363	18776691	20000.0
	363	27097633	21400.0
x 	363	20075612	23000.0
parental enzyme XynA, SDS-PAGE	363	22006920	23000.0
x 	363	20075612	23253.0
sequence analysis	363	19332293	23350.0
x 	363	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	363	22006920	85500.0
1 	364	18776691	20000.0
	364	27097633	21400.0
x 	364	20075612	23000.0
parental enzyme XynA, SDS-PAGE	364	22006920	23000.0
x 	364	20075612	23253.0
sequence analysis	364	19332293	23350.0
x 	364	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	364	22006920	85500.0
1 	365	18776691	20000.0
	365	27097633	21400.0
x 	365	20075612	23000.0
parental enzyme XynA, SDS-PAGE	365	22006920	23000.0
x 	365	20075612	23253.0
sequence analysis	365	19332293	23350.0
x 	365	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	365	22006920	85500.0
1 	366	18776691	20000.0
	366	27097633	21400.0
x 	366	20075612	23000.0
parental enzyme XynA, SDS-PAGE	366	22006920	23000.0
x 	366	20075612	23253.0
sequence analysis	366	19332293	23350.0
x 	366	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	366	22006920	85500.0
1 	367	18776691	20000.0
	367	27097633	21400.0
x 	367	20075612	23000.0
parental enzyme XynA, SDS-PAGE	367	22006920	23000.0
x 	367	20075612	23253.0
sequence analysis	367	19332293	23350.0
x 	367	16346375	32000.0
chimeric enzymes CorA-XynA and CorA-XynAG3, SDS-PAGE	367	22006920	85500.0
x 	439	20077114	49800.0
x 	439	19655217	55000.0
x 	439	19655217	90000.0
x 	439	19655217	449000.0
x 	440	20077114	49800.0
x 	440	19655217	55000.0
x 	440	19655217	90000.0
x 	440	19655217	449000.0
SDS-PAGE	448	16404950	20600.0
SDS-PAGE	449	16404950	20600.0
SDS-PAGE	450	16404950	20600.0
SDS-PAGE	451	16404950	20600.0
	457	10974122	25000.0
zymogram analysis, three xylanases of molecular mass from isolate CR4 (82, 73, and 66 kDa)	459	18791765	66000.0-82000.0
gel filtration	475	8467959	32000.0
1 	475	8467959	42000.0
gel filtration	476	8467959	32000.0
1 	476	8467959	42000.0
SDS-PAGE	485	18251885	32000.0
x 	485	100550709	32500.0
x 	485	100550709	64960.0
SDS-PAGE	486	18251885	32000.0
x 	486	100550709	32500.0
x 	486	100550709	64960.0
SDS-PAGE	487	18251885	32000.0
x 	487	100550709	32500.0
x 	487	100550709	64960.0
SDS-PAGE	488	18251885	32000.0
x 	488	100550709	32500.0
x 	488	100550709	64960.0
SDS-PAGE	489	18251885	32000.0
