Commentary	Substrate	Ref	Literature(PubmedID)	value
pH 7.0, 25°C	Hexanol	1165	11742541	10.7
pH 7.0, 25°C	cinnamyl alcohol	1165	11742541	14.8
pH 10.0, 25°C	cinnamyl alcohol	1165	11742541	70.0
pH 7.0, 25°C	3-methyl-1-butanol	1165	11742541	173.0
pH 7.0, 25°C	veratraldehyde	1165	11742541	263.0
pH 7.0, 25°C	3-Methylbutanal	1165	11742541	296.0
pH 7.0, 25°C	cinnamaldehyde	1165	11742541	307.0
pH 7.0, 25°C	Hexanal	1165	11742541	359.0
pH 7.0, 25°C	pentanal	1165	11742541	378.0
pH 10.0, 25°C	1-Pentanol	1165	11742541	918.0
pH 10.0, 25°C	Phenylethanol	1165	11742541	1132.0
pH 7.0, 25°C	cinnamyl alcohol	1165	11742541	1622.0
pH 10.0, 25°C	3-methyl-1-butanol	1165	11742541	2866.0
pH 10.0, 25°C	cinnamyl alcohol	1165	11742541	3404.0
pH 7.0, 25°C	veratraldehyde	1165	11742541	6000.0
pH 7.0, 25°C	cinnamaldehyde	1165	11742541	7913.0
pH 7.0, 25°C	3-Methylbutanal	1165	11742541	9581.0
pH 7.0, 25°C	pentanal	1165	11742541	11920.0
pH 7.0, 25°C	Hexanol	1166	11742541	10.7
pH 7.0, 25°C	cinnamyl alcohol	1166	11742541	14.8
pH 10.0, 25°C	cinnamyl alcohol	1166	11742541	70.0
pH 7.0, 25°C	3-methyl-1-butanol	1166	11742541	173.0
pH 7.0, 25°C	veratraldehyde	1166	11742541	263.0
pH 7.0, 25°C	3-Methylbutanal	1166	11742541	296.0
pH 7.0, 25°C	cinnamaldehyde	1166	11742541	307.0
pH 7.0, 25°C	Hexanal	1166	11742541	359.0
pH 7.0, 25°C	pentanal	1166	11742541	378.0
pH 10.0, 25°C	1-Pentanol	1166	11742541	918.0
pH 10.0, 25°C	Phenylethanol	1166	11742541	1132.0
pH 7.0, 25°C	cinnamyl alcohol	1166	11742541	1622.0
pH 10.0, 25°C	3-methyl-1-butanol	1166	11742541	2866.0
pH 10.0, 25°C	cinnamyl alcohol	1166	11742541	3404.0
pH 7.0, 25°C	veratraldehyde	1166	11742541	6000.0
pH 7.0, 25°C	cinnamaldehyde	1166	11742541	7913.0
pH 7.0, 25°C	3-Methylbutanal	1166	11742541	9581.0
pH 7.0, 25°C	pentanal	1166	11742541	11920.0
pH 7.0, 25°C	Hexanol	1167	11742541	10.7
pH 7.0, 25°C	cinnamyl alcohol	1167	11742541	14.8
pH 10.0, 25°C	cinnamyl alcohol	1167	11742541	70.0
pH 7.0, 25°C	3-methyl-1-butanol	1167	11742541	173.0
pH 7.0, 25°C	veratraldehyde	1167	11742541	263.0
pH 7.0, 25°C	3-Methylbutanal	1167	11742541	296.0
pH 7.0, 25°C	cinnamaldehyde	1167	11742541	307.0
