EC_Number	Systematic_name	Recommended_name	UniProt	Organism	Commentary	Ref
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Avena fatua	AMENDA reliability +	129
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Avena fatua	FRENDA	130
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Avena sp.	FRENDA	131
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Azadirachta indica	AMENDA reliability +	132
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Azadirachta indica	FRENDA	133
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Babesia bovis	FRENDA	134
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bacillus	FRENDA	135
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bacillus halodurans	AMENDA reliability +	136
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bacillus megaterium	FRENDA	137
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bacillus methanolicus		138
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bacillus pumilus	FRENDA	139
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bacillus sp. (in: Bacteria)	AMENDA reliability +	140
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bacillus subtilis		141
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bacillus subtilis	AMENDA reliability +	142
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bacillus subtilis	FRENDA	143
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bacteria	AMENDA reliability +	144
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bacteria	AMENDA reliability ++	145
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bacteria	FRENDA	146
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bacteroides fragilis	FRENDA	147
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bactrocera oleae	AMENDA reliability +	148
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bactrocera oleae	FRENDA	149
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Balanites	AMENDA reliability +	150
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Balanites aegyptiacus	AMENDA reliability +++	151
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Balanites aegyptiacus	FRENDA	152
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Beauveria bassiana	AMENDA reliability +++	153
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Beijerinckia derxii subsp. venezuelae	AMENDA reliability +	154
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Biophytum sensitivum	AMENDA reliability +	155
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bixa orellana	AMENDA reliability +++	156
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Blastobotrys adeninivorans	FRENDA	157
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Blumeria graminis	AMENDA reliability +	158
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Blumeria graminis	FRENDA	159
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bombyx mori	AMENDA reliability +++	160
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bombyx mori	FRENDA	161
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bos taurus		162
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bos taurus	AMENDA reliability +	163
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bos taurus	AMENDA reliability ++	164
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bos taurus	AMENDA reliability ++	165
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bos taurus	AMENDA reliability +++	166
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bos taurus	bovine	167
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bos taurus	FRENDA	168
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bos taurus	ox	169
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Boswellia serrata	FRENDA	170
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Branchiostoma lanceolatum	AMENDA reliability +	171
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Brandisia hancei	AMENDA reliability +	172
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Brassica	FRENDA	173
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Brassica napus	FRENDA	174
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Brassica oleracea var. capitata	FRENDA	175
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Brassica oleracea var. gongylodes	FRENDA	176
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Brassica rapa	FRENDA	177
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Brettanomyces anomalus	FRENDA	178
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Brevibacillus brevis	ATCC 8185	179
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Brickellia arguta	FRENDA	180
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bromus inermis	AMENDA reliability +	181
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Brucella	AMENDA reliability +	182
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Brucella abortus	AMENDA reliability +	183
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Buddleja	FRENDA	184
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Bungarus fasciatus	FRENDA	185
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Caecum	FRENDA	186
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Caenorhabditis elegans	FRENDA	187
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Caesalpinia pulcherrima	AMENDA reliability +++	188
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Calendula officinalis	AMENDA reliability +	189
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Callistephus chinensis	FRENDA	190
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Calloplesiops altivelis	FRENDA	191
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Callyspongia rosa	FRENDA	192
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Calopteron reticulatum	FRENDA	193
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Calycidium cuneatum	FRENDA	194
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Camellia	AMENDA reliability +	195
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Camellia japonica	AMENDA reliability +	196
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Camellia oleifera	FRENDA	197
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Camellia sinensis	AMENDA reliability +	198
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Camellia sinensis	AMENDA reliability +++	199
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Camellia sinensis	FRENDA	200
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Camelus bactrianus	AMENDA reliability +	201
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Camelus bactrianus	FRENDA	202
1.1.1.2	alcohol:NADP+ oxidoreductase	alcohol dehydrogenase (NADP+)		Camelus dromedarius	AMENDA reliability +	203
